pdb,reason,ligand_len,receptor_len,size_source,subgroup,pdb_path,n_ca_ligand,n_ca_receptor,dN_ligand_nm,dN_receptor_nm
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1GC1,too_small_partner_len,297.0,181.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1GC1.pdb,297.0,181.0,1.2500028610229492,1.5665903091430664
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1JRH,interface_too_small_for_N,,,,OTHER,src\bridging\generatedData\pdb_cache\1JRH.pdb,347.0,95.0,1.5344825983047485,2.016108274459839
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1DAN,too_small_partner_len,386.0,191.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1DAN.pdb,386.0,191.0,1.0707125663757324,1.0406184196472168
1NMB,KEEP,388.0,231.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,1.4029545783996582,1.4318511486053467
1NMB,KEEP,388.0,231.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,1.4029545783996582,1.4318511486053467
1NMB,KEEP,388.0,231.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,1.4029545783996582,1.4318511486053467
1NMB,KEEP,388.0,231.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,1.4029545783996582,1.4318511486053467
1NMB,KEEP,388.0,231.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,1.4029545783996582,1.4318511486053467
1NMB,KEEP,388.0,231.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,1.4029545783996582,1.4318511486053467
1NMB,KEEP,388.0,231.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,1.4029545783996582,1.4318511486053467
1NMB,KEEP,388.0,231.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1NMB.pdb,388.0,231.0,1.4029545783996582,1.4318511486053467
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
1VFB,too_small_partner_len,223.0,129.0,modeled_cache,OTHER,src\bridging\generatedData\pdb_cache\1VFB.pdb,223.0,129.0,1.4783611297607422,1.8785099983215332
