size_key,pdb_id,ligand_chains,receptor_chains,subgroup,pdb_path,ligand_modeled_residues,receptor_modeled_residues,ligand_seq_len,receptor_seq_len,rcsb_status,status
"4WHY|K,L|C",4WHY,"K,L",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4WHY.pdb,418.0,11.0,,,skipped,ok
"6F7T|A,B|D",6F7T,"A,B",D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6F7T.pdb,428.0,12.0,,,skipped,ok
"1TZH|H,L|V",1TZH,"H,L",V,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1TZH.pdb,427.0,94.0,,,skipped,ok
5IVN|A|B,5IVN,A,B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5IVN.pdb,121.0,10.0,,,skipped,ok
"2I60|Q,R|P",2I60,"Q,R",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2I60.pdb,436.0,300.0,,,skipped,ok
"5L6Y|H,L|C",5L6Y,"H,L",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5L6Y.pdb,444.0,94.0,,,skipped,ok
"6II4|H,L|A",6II4,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6II4.pdb,432.0,316.0,,,skipped,ok
2P45|B|A,2P45,B,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2P45.pdb,116.0,124.0,,,skipped,ok
"5NMV|H,L|K",5NMV,"H,L",K,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5NMV.pdb,433.0,63.0,,,skipped,ok
"4KRO|C,D|A",4KRO,"C,D",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4KRO.pdb,424.0,570.0,,,skipped,ok
"5XJM|H,L|A",5XJM,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5XJM.pdb,432.0,375.0,,,skipped,ok
2VYR|J|A,2VYR,J,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2VYR.pdb,124.0,85.0,,,skipped,ok
"4XGZ|H,L|h",4XGZ,"H,L",h,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4XGZ.pdb,428.0,12.0,,,skipped,ok
"4XGZ|W,X|w",4XGZ,"W,X",w,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4XGZ.pdb,428.0,12.0,,,skipped,ok
"6AXL|A,B|I",6AXL,"A,B",I,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6AXL.pdb,431.0,12.0,,,skipped,ok
5O2U|B|A,5O2U,B,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5O2U.pdb,115.0,73.0,,,skipped,ok
"5HYS|H,L|I",5HYS,"H,L",I,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5HYS.pdb,439.0,213.0,,,skipped,ok
"4CNI|H,L|C",4CNI,"H,L",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4CNI.pdb,433.0,171.0,,,skipped,ok
"6H0E|H,L|I",6H0E,"H,L",I,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6H0E.pdb,434.0,8.0,,,skipped,ok
"4N9G|E,F|D",4N9G,"E,F",D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4N9G.pdb,437.0,35.0,,,skipped,ok
"4F37|H,L|A",4F37,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4F37.pdb,443.0,102.0,,,skipped,ok
"5NGV|H,L|A",5NGV,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5NGV.pdb,224.0,93.0,,,skipped,ok
1RI8|A|B,1RI8,A,B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1RI8.pdb,124.0,129.0,,,skipped,ok
"5KOV|E,e|B",5KOV,"E,e",B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5KOV.pdb,224.0,218.0,,,skipped,ok
5MZV|D|A,5MZV,D,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5MZV.pdb,123.0,303.0,,,skipped,ok
"3UX9|D,d|C",3UX9,"D,d",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3UX9.pdb,230.0,129.0,,,skipped,ok
5BOZ|H|B,5BOZ,H,B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5BOZ.pdb,125.0,260.0,,,skipped,ok
"4YBL|H,L|G",4YBL,"H,L",G,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4YBL.pdb,424.0,126.0,,,skipped,ok
"6B9J|A,B|Y",6B9J,"A,B",Y,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6B9J.pdb,425.0,228.0,,,skipped,ok
"6D01|A,B|I",6D01,"A,B",I,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6D01.pdb,432.0,19.0,,,skipped,ok
"6D6U|I,J|B",6D6U,"I,J",B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6D6U.pdb,222.0,336.0,,,skipped,ok
"4WHT|M,N|m",4WHT,"M,N",m,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4WHT.pdb,419.0,12.0,,,skipped,ok
5M2M|N|M,5M2M,N,M,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5M2M.pdb,127.0,148.0,,,skipped,ok
"3L95|A,B|X",3L95,"A,B",X,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3L95.pdb,432.0,230.0,,,skipped,ok
"3LH2|J,N|U",3LH2,"J,N",U,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3LH2.pdb,235.0,68.0,,,skipped,ok
"3EOB|A,B|J",3EOB,"A,B",J,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3EOB.pdb,429.0,179.0,,,skipped,ok
"3UZE|A,a|C",3UZE,"A,a",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3UZE.pdb,229.0,94.0,,,skipped,ok
"1YYL|H,L|G",1YYL,"H,L",G,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1YYL.pdb,443.0,301.0,,,skipped,ok
"4I18|A,B|R",4I18,"A,B",R,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4I18.pdb,434.0,205.0,,,skipped,ok
"3SKJ|H,L|E",3SKJ,"H,L",E,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3SKJ.pdb,442.0,176.0,,,skipped,ok
"5W1M|A,B|R",5W1M,"A,B",R,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5W1M.pdb,439.0,152.0,,,skipped,ok
"3B2U|C,D|B",3B2U,"C,D",B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3B2U.pdb,426.0,194.0,,,skipped,ok
"4D9R|D,E|B",4D9R,"D,E",B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4D9R.pdb,429.0,228.0,,,skipped,ok
5FHX|H|A,5FHX,H,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5FHX.pdb,340.0,122.0,,,skipped,ok
"1WEJ|H,L|F",1WEJ,"H,L",F,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1WEJ.pdb,437.0,104.0,,,skipped,ok
"5Y11|A,B|C",5Y11,"A,B",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5Y11.pdb,434.0,319.0,,,skipped,ok
"6BKD|H,L|E",6BKD,"H,L",E,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6BKD.pdb,430.0,150.0,,,skipped,ok
"5T78|C,D|E",5T78,"C,D",E,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5T78.pdb,425.0,7.0,,,skipped,ok
"6F7T|H,L|C",6F7T,"H,L",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6F7T.pdb,429.0,12.0,,,skipped,ok
"4CNI|A,B|D",4CNI,"A,B",D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4CNI.pdb,434.0,171.0,,,skipped,ok
"5W0K|H,L|A",5W0K,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5W0K.pdb,423.0,655.0,,,skipped,ok
"5B71|A,B|E",5B71,"A,B",E,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5B71.pdb,439.0,93.0,,,skipped,ok
"2UZI|H,L|R",2UZI,"H,L",R,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2UZI.pdb,218.0,166.0,,,skipped,ok
"4HPY|H,L|P",4HPY,"H,L",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4HPY.pdb,432.0,11.0,,,skipped,ok
"5BK1|C,D|B",5BK1,"C,D",B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5BK1.pdb,435.0,366.0,,,skipped,ok
4EIG|B|A,4EIG,B,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4EIG.pdb,117.0,159.0,,,skipped,ok
1KXQ|E|D,1KXQ,E,D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1KXQ.pdb,120.0,496.0,,,skipped,ok
"4R8W|H,L|A,B",4R8W,"H,L","A,B",Antibody-Antigen,src\bridging\generatedData\pdb_cache\4R8W.pdb,237.0,485.0,,,skipped,ok
"2Y6S|C,D|P",2Y6S,"C,D",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2Y6S.pdb,423.0,15.0,,,skipped,ok
"5UTZ|B,C|A",5UTZ,"B,C",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5UTZ.pdb,432.0,131.0,,,skipped,ok
"2NY2|C,D|A",2NY2,"C,D",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2NY2.pdb,435.0,304.0,,,skipped,ok
"2R0K|H,L|A",2R0K,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2R0K.pdb,427.0,239.0,,,skipped,ok
"4QXT|A,B|Q",4QXT,"A,B",Q,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4QXT.pdb,225.0,10.0,,,skipped,ok
"5D71|H,L|A",5D71,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5D71.pdb,409.0,114.0,,,skipped,ok
"4FQJ|H,L|A",4FQJ,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4FQJ.pdb,437.0,294.0,,,skipped,ok
"4ZPT|A,B|R",4ZPT,"A,B",R,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4ZPT.pdb,425.0,208.0,,,skipped,ok
"1DEE|C,D|G",1DEE,"C,D",G,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1DEE.pdb,437.0,51.0,,,skipped,ok
"3K2U|H,L|A",3K2U,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3K2U.pdb,423.0,233.0,,,skipped,ok
"3A67|H,L|Y",3A67,"H,L",Y,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3A67.pdb,221.0,129.0,,,skipped,ok
"2B2X|I,M|B",2B2X,"I,M",B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2B2X.pdb,420.0,176.0,,,skipped,ok
2P4A|B|A,2P4A,B,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2P4A.pdb,121.0,124.0,,,skipped,ok
"4Z5R|P,Q|G",4Z5R,"P,Q",G,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4Z5R.pdb,430.0,137.0,,,skipped,ok
"5KN5|A,B|C",5KN5,"A,B",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5KN5.pdb,430.0,40.0,,,skipped,ok
"5EOC|H,L|P",5EOC,"H,L",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5EOC.pdb,428.0,13.0,,,skipped,ok
"4HS8|H,L|A",4HS8,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4HS8.pdb,443.0,12.0,,,skipped,ok
"4J4P|C,D|B",4J4P,"C,D",B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4J4P.pdb,437.0,317.0,,,skipped,ok
"5IKC|A,B|M",5IKC,"A,B",M,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5IKC.pdb,423.0,89.0,,,skipped,ok
"5TKK|H,L|A",5TKK,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5TKK.pdb,426.0,8.0,,,skipped,ok
"1FSK|B,C|A",1FSK,"B,C",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1FSK.pdb,434.0,159.0,,,skipped,ok
"4XGZ|Q,R|q",4XGZ,"Q,R",q,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4XGZ.pdb,428.0,19.0,,,skipped,ok
"2IFF|H,L|Y",2IFF,"H,L",Y,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2IFF.pdb,426.0,129.0,,,skipped,ok
"1YYM|Q,R|P",1YYM,"Q,R",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1YYM.pdb,443.0,299.0,,,skipped,ok
"4FQV|I,M|E,F",4FQV,"I,M","E,F",Antibody-Antigen,src\bridging\generatedData\pdb_cache\4FQV.pdb,426.0,486.0,,,skipped,ok
"4WY7|H,L|P",4WY7,"H,L",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4WY7.pdb,432.0,15.0,,,skipped,ok
"4HS6|H,L|Y",4HS6,"H,L",Y,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4HS6.pdb,433.0,12.0,,,skipped,ok
"2A6D|A,B|P",2A6D,"A,B",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2A6D.pdb,433.0,12.0,,,skipped,ok
4W6W|B|A,4W6W,B,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4W6W.pdb,124.0,141.0,,,skipped,ok
4WEM|B|A,4WEM,B,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4WEM.pdb,121.0,248.0,,,skipped,ok
"4MHJ|E,F|C",4MHJ,"E,F",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4MHJ.pdb,437.0,321.0,,,skipped,ok
"3L95|H,L|Y",3L95,"H,L",Y,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3L95.pdb,431.0,215.0,,,skipped,ok
"6MHR|D,E|F",6MHR,"D,E",F,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6MHR.pdb,432.0,140.0,,,skipped,ok
"4FQR|o,p|O",4FQR,"o,p",O,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4FQR.pdb,,,,,,missing_pdb
"1W72|H,L|A,C",1W72,"H,L","A,C",TCR-pMHC,src\bridging\generatedData\pdb_cache\1W72.pdb,433.0,283.0,,,skipped,ok
"3B2V|H,L|A",3B2V,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3B2V.pdb,430.0,375.0,,,skipped,ok
"3V6Z|C,D|E",3V6Z,"C,D",E,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3V6Z.pdb,440.0,148.0,,,skipped,ok
"4YHZ|H,L|P",4YHZ,"H,L",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4YHZ.pdb,430.0,8.0,,,skipped,ok
5O0W|E|A,5O0W,E,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5O0W.pdb,137.0,360.0,,,skipped,ok
"3GJF|K,M|D,F",3GJF,"K,M","D,F",TCR-pMHC,src\bridging\generatedData\pdb_cache\3GJF.pdb,432.0,285.0,,,skipped,ok
"4KRP|C,D|A",4KRP,"C,D",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4KRP.pdb,424.0,534.0,,,skipped,ok
"5W08|G,H|A",5W08,"G,H",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5W08.pdb,448.0,272.0,,,skipped,ok
"2HRP|H,L|P",2HRP,"H,L",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2HRP.pdb,441.0,10.0,,,skipped,ok
"4JG1|H,L|P",4JG1,"H,L",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4JG1.pdb,439.0,8.0,,,skipped,ok
5M2I|H|A,5M2I,H,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5M2I.pdb,121.0,148.0,,,skipped,ok
"3UZE|B,b|D",3UZE,"B,b",D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3UZE.pdb,226.0,74.0,,,skipped,ok
5IP4|B|D,5IP4,B,D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5IP4.pdb,110.0,80.0,,,skipped,ok
"4GMS|I,M|C",4GMS,"I,M",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4GMS.pdb,341.0,316.0,,,skipped,ok
"6B9J|H,L|X",6B9J,"H,L",X,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6B9J.pdb,421.0,228.0,,,skipped,ok
"5VPG|C,D|A",5VPG,"C,D",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5VPG.pdb,429.0,222.0,,,skipped,ok
5NQW|D|A,5NQW,D,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5NQW.pdb,123.0,210.0,,,skipped,ok
"5NH3|H,L|A",5NH3,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5NH3.pdb,224.0,94.0,,,skipped,ok
"3T2N|I,M|B",3T2N,"I,M",B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3T2N.pdb,417.0,335.0,,,skipped,ok
"6EJG|C,c|A",6EJG,"C,c",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6EJG.pdb,231.0,89.0,,,skipped,ok
"5CIN|H,L|P",5CIN,"H,L",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5CIN.pdb,430.0,15.0,,,skipped,ok
"3C09|B,C|A",3C09,"B,C",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3C09.pdb,366.0,191.0,,,skipped,ok
"5YY4|A,a|B",5YY4,"A,a",B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5YY4.pdb,236.0,6.0,,,skipped,ok
"4LMQ|H,L|D",4LMQ,"H,L",D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4LMQ.pdb,434.0,55.0,,,skipped,ok
"3Q3G|A,B|E",3Q3G,"A,B",E,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3Q3G.pdb,444.0,189.0,,,skipped,ok
"3NGB|E,F|D",3NGB,"E,F",D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3NGB.pdb,432.0,350.0,,,skipped,ok
"5W08|M,N|F",5W08,"M,N",F,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5W08.pdb,447.0,274.0,,,skipped,ok
"4RGM|H,L|S",4RGM,"H,L",S,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4RGM.pdb,429.0,224.0,,,skipped,ok
5M2M|D|B,5M2M,D,B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5M2M.pdb,127.0,151.0,,,skipped,ok
2P46|D|C,2P46,D,C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2P46.pdb,116.0,120.0,,,skipped,ok
"1SM3|H,L|P",1SM3,"H,L",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1SM3.pdb,421.0,9.0,,,skipped,ok
"5C0N|H,L|A",5C0N,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5C0N.pdb,430.0,131.0,,,skipped,ok
"4GMS|H,L|A",4GMS,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4GMS.pdb,428.0,316.0,,,skipped,ok
"5W08|Q,R|D",5W08,"Q,R",D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5W08.pdb,447.0,273.0,,,skipped,ok
"5ZIA|H,I|J",5ZIA,"H,I",J,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5ZIA.pdb,436.0,8.0,,,skipped,ok
"5MYX|C,D|F",5MYX,"C,D",F,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5MYX.pdb,425.0,15.0,,,skipped,ok
"1FSK|E,F|D",1FSK,"E,F",D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1FSK.pdb,434.0,159.0,,,skipped,ok
"4MHH|J,K|A",4MHH,"J,K",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4MHH.pdb,439.0,324.0,,,skipped,ok
"5DD0|H,L|P",5DD0,"H,L",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5DD0.pdb,432.0,11.0,,,skipped,ok
"5AAW|F,f|G",5AAW,"F,f",G,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5AAW.pdb,227.0,93.0,,,skipped,ok
3P9W|B|A,3P9W,B,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3P9W.pdb,123.0,96.0,,,skipped,ok
"4XGZ|M,N|m",4XGZ,"M,N",m,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4XGZ.pdb,430.0,13.0,,,skipped,ok
"6II9|H,L|A",6II9,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6II9.pdb,428.0,317.0,,,skipped,ok
"6DDM|A,B|C",6DDM,"A,B",C,TCR-pMHC,src\bridging\generatedData\pdb_cache\6DDM.pdb,431.0,88.0,,,skipped,ok
"6D01|C,D|I",6D01,"C,D",I,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6D01.pdb,432.0,19.0,,,skipped,ok
"4N9G|A,B|C",4N9G,"A,B",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4N9G.pdb,438.0,35.0,,,skipped,ok
"3U0T|A,B|F",3U0T,"A,B",F,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3U0T.pdb,427.0,11.0,,,skipped,ok
"3WIH|H,L|A",3WIH,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3WIH.pdb,432.0,88.0,,,skipped,ok
3LRH|M|N,3LRH,M,N,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3LRH.pdb,110.0,14.0,,,skipped,ok
"1OB1|D,E|F",1OB1,"D,E",F,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1OB1.pdb,434.0,96.0,,,skipped,ok
"4RDQ|J,K|B",4RDQ,"J,K",B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4RDQ.pdb,423.0,366.0,,,skipped,ok
"3RKD|H,L|A",3RKD,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3RKD.pdb,431.0,146.0,,,skipped,ok
"4AM0|A,B|S",4AM0,"A,B",S,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4AM0.pdb,423.0,92.0,,,skipped,ok
"5TE7|H,L|G",5TE7,"H,L",G,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5TE7.pdb,435.0,336.0,,,skipped,ok
5M2I|G|B,5M2I,G,B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5M2I.pdb,121.0,148.0,,,skipped,ok
"5JHL|H,L|A",5JHL,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5JHL.pdb,427.0,385.0,,,skipped,ok
"5VAG|B,C|A",5VAG,"B,C",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5VAG.pdb,435.0,209.0,,,skipped,ok
"5U7M|H,L|G",5U7M,"H,L",G,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5U7M.pdb,436.0,442.0,,,skipped,ok
5O05|D|A,5O05,D,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5O05.pdb,114.0,308.0,,,skipped,ok
5SV3|A|B,5SV3,A,B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5SV3.pdb,126.0,167.0,,,skipped,ok
"5TKJ|D,E|F",5TKJ,"D,E",F,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5TKJ.pdb,430.0,8.0,,,skipped,ok
"5CIL|H,L|P",5CIL,"H,L",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5CIL.pdb,432.0,13.0,,,skipped,ok
"4R2G|I,J|K",4R2G,"I,J",K,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4R2G.pdb,436.0,303.0,,,skipped,ok
"6D6T|K,L|D",6D6T,"K,L",D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6D6T.pdb,222.0,337.0,,,skipped,ok
"4UU9|H,L|D",4UU9,"H,L",D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4UU9.pdb,233.0,66.0,,,skipped,ok
2P4A|D|C,2P4A,D,C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\2P4A.pdb,121.0,124.0,,,skipped,ok
"5D1Q|C,D|E",5D1Q,"C,D",E,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5D1Q.pdb,445.0,118.0,,,skipped,ok
"1MPA|H,L|P",1MPA,"H,L",P,Antibody-Antigen,src\bridging\generatedData\pdb_cache\1MPA.pdb,444.0,7.0,,,skipped,ok
"6CWT|A,B|E",6CWT,"A,B",E,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6CWT.pdb,428.0,124.0,,,skipped,ok
"3L5W|H,L|I",3L5W,"H,L",I,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3L5W.pdb,436.0,101.0,,,skipped,ok
"5MYO|A,B|E",5MYO,"A,B",E,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5MYO.pdb,440.0,9.0,,,skipped,ok
"6B5T|H,L|A",6B5T,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6B5T.pdb,423.0,13.0,,,skipped,ok
"4QCI|A,B|D",4QCI,"A,B",D,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4QCI.pdb,420.0,96.0,,,skipped,ok
"4DTG|H,L|K",4DTG,"H,L",K,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4DTG.pdb,440.0,60.0,,,skipped,ok
"4NP4|H,L|A",4NP4,"H,L",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4NP4.pdb,428.0,271.0,,,skipped,ok
3OGO|H|B,3OGO,H,B,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3OGO.pdb,116.0,224.0,,,skipped,ok
"5N7W|A,B|Y",5N7W,"A,B",Y,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5N7W.pdb,430.0,105.0,,,skipped,ok
"4AEI|J,N|C",4AEI,"J,N",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4AEI.pdb,425.0,64.0,,,skipped,ok
"4WHT|E,F|e",4WHT,"E,F",e,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4WHT.pdb,423.0,11.0,,,skipped,ok
5FV2|C|W,5FV2,C,W,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5FV2.pdb,116.0,97.0,,,skipped,ok
"6AZZ|B,C|A",6AZZ,"B,C",A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\6AZZ.pdb,429.0,151.0,,,skipped,ok
"5T78|A,B|F",5T78,"A,B",F,Antibody-Antigen,src\bridging\generatedData\pdb_cache\5T78.pdb,425.0,7.0,,,skipped,ok
3P9W|H|G,3P9W,H,G,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3P9W.pdb,122.0,97.0,,,skipped,ok
4Y8D|C|A,4Y8D,C,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4Y8D.pdb,120.0,262.0,,,skipped,ok
"3LH2|H,L|S",3LH2,"H,L",S,Antibody-Antigen,src\bridging\generatedData\pdb_cache\3LH2.pdb,237.0,64.0,,,skipped,ok
4EIZ|D|A,4EIZ,D,A,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4EIZ.pdb,127.0,159.0,,,skipped,ok
"3FKU|Y,y|A,B",3FKU,"Y,y","A,B",Antibody-Antigen,src\bridging\generatedData\pdb_cache\3FKU.pdb,235.0,503.0,,,skipped,ok
"4M8Q|H,L|C",4M8Q,"H,L",C,Antibody-Antigen,src\bridging\generatedData\pdb_cache\4M8Q.pdb,231.0,148.0,,,skipped,ok
